cur_sna_20m_0045,28.673666,-91.251152,28.8976135,KP0691_AC_SB20,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0046,27.6199265,-91.797005,27.1985741,KP0693_AC_SB20,AAGA,FW,NO_CORAL,FALSE,PAST
cur_sna_20m_0047,12.4682579,-63.214722,9.24553871,KP0694_LM_SB20,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0048,13.7588596,-58.818321,13.1644144,KP0696_AC_SB20,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0049,14.8042479,-53.422089,11.7310867,KP0698_AC_SB20,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0050,28.997076,-89.214279,26.3194466,KP0699_AC_SB20,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0051,30.991436,-86.510086,25.3909721,KP0703_AC_SB20,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0052,27.424818,-102.95919,30.7545624,KP0704_AC_SB20,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0053,28.4246559,-100.13885,28.4891758,KP0706_LM_SB20,ALAM,FW,,FALSE,ALAM
cur_sna_20m_0054,33.0571594,-85.356895,24.3569717,KP0707_LM_SB20,ALAM,FW,NOISE,TRUE,ALAM
cur_sna_20m_0055,25.9216461,-100.24817,29.1671219,KP0708_AC_SB20,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0056,33.3752518,-83.710999,25.8533115,KP0709_AC_SB20,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0057,32.9372063,-80.533844,26.5335331,KP0711_AC_SB20,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0058,26.8182354,-94.777534,28.0655537,KP0712_AC_SB20,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0059,21.6884708,-93.460365,25.1503124,KP0714_AC_SB20,AAGA,FW,NOISE,TRUE,AAGA
cur_sna_20m_0060,24.5984001,-84.817879,24.0525417,KP0716_LM_SB20,ALAM,FW,,FALSE,ALAM
cur_sna_20m_0061,34.8761482,-141.34018,50.1606636,KP0717_AC_SB20,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0062,21.3498783,-82.609436,19.74193,KP0718_LM_SB20,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0063,40.1197891,-140.61821,50.2730217,KP0720_AC_SB20,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0064,39.857872,-135.03065,46.4308243,KP0724_AC_SB20,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0065,29.4214554,-132.88673,42.4307137,KP0727_AC_SB20,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0066,36.4248695,-133.67172,44.1555672,KP0730_AC_SB20,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0067,26.9131317,-118.93457,32.3146706,KP0731_LM_SB20,ALAM,FW,,FALSE,OFRA
cur_sna_20m_0068,37.8058128,-131.08977,43.5907402,KP0732_LM_SB20,ALAM,FW,,FALSE,AAGA
cur_sna_20m_0069,38.1277046,-127.41307,45.2533379,KP0734_AC_SB20,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0070,13.7778397,19.9000568,-10.367059,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0071,13.0034781,12.5436239,-10.79903,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0072,11.7265415,-0.6501256,-10.081608,,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0073,6.05092859,-2.936769,-8.5662889,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0074,4.03758907,-7.7195888,-8.5753994,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0075,6.30145693,-8.3390779,-5.0178924,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0076,8.57747173,-8.1561155,-6.4208527,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0077,14.3737936,-6.4836473,-3.431211,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0078,15.5452051,-9.8156786,-1.3654883,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0079,16.980051,-11.40236,-0.2882151,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0080,17.5441208,-14.048094,0.32064539,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0081,10.1375818,-16.059916,0.24017255,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0082,0.78299427,-13.69128,-4.0051494,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0083,15.9156837,-24.174767,2.48430181,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0084,19.5392399,-27.866648,3.19944739,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0085,12.785594,-26.573008,1.01453388,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0086,14.9940424,-42.50663,6.42974854,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0087,23.8430176,-40.503159,8.36944771,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0088,17.0051041,-57.709164,13.9342203,,AAGA,FW,,FALSE,ALAM
cur_sna_20m_0089,27.1469593,-53.505596,18.306324,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0090,29.5975857,-55.80135,19.4025784,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0091,28.9500065,-57.124596,19.0191936,,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0092,29.083622,-63.074272,19.9119854,,ALAM,FW,,TRUE,AAGA
cur_sna_20m_0093,22.7163982,-68.734703,15.640852,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0094,32.7307129,-67.23912,20.8062973,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0095,36.4180374,-76.596748,23.5659084,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0096,36.3170662,-83.195518,27.3458538,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0097,38.018383,-80.917229,26.0241261,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0098,38.5703049,-82.670166,25.8722897,,ALAM,FW,,TRUE,AAGA
cur_sna_20m_0099,39.1996651,-84.074646,26.8432789,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0100,37.4558334,-84.776886,27.6616726,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0101,28.8277779,-96.002846,29.1883793,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0102,30.2474403,-94.856491,28.8376389,,AAGA,FW,,TRUE,ALAM
cur_sna_20m_0103,41.8879128,-101.76804,33.5232849,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0104,33.0647507,-107.46188,32.5059853,,ALAM,FW,,TRUE,ALAM
